mal_id,english_name,score,genres,popularity
1,Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",39
5,Cowboy Bebop:The Movie,8.39,"Action, Drama, Mystery, Sci-Fi, Space",518
6,Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",201
7,Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",1467
8,Beet the Vandel Buster,6.98,"Adventure, Fantasy, Shounen, Supernatural",4369
16,Honey and Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",687
19,Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",169
20,Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",8
21,One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",31
22,The Prince of Tennis,7.9,"Action, Comedy, Sports, School, Shounen",1039
24,School Rumble,7.94,"Comedy, Romance, School, Shounen",514
25,Desert Punk,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",1284
26,Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",823
27,Trinity Blood,7.32,"Action, Supernatural, Vampire",936
28,Yakitate!! Japan,7.95,"Comedy, Shounen",1666
30,Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",54
31,Neon Genesis Evangelion:Death & Rebirth,7.45,"Drama, Mecha, Psychological, Sci-Fi",833
32,Neon Genesis Evangelion:The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",195
33,Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",301
43,Ghost in the Shell,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",265
44,Samurai X:Trust and Betrayal,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",637
45,Rurouni Kenshin,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",345
46,Samurai X:The Motion Picture,7.56,"Samurai, Historical, Drama, Shounen",2411
47,AKIRA,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",197
48,.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",940
49,Oh! My Goddess,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",2360
50,Ah! My Goddess,7.35,"Comedy, Supernatural, Magic, Romance, Seinen",1083
51,Angel Sanctuary,6.31,"Action, Drama, Romance, Shoujo, Supernatural",2419
52,Battle Doll Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",2232
53,Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",1465
57,Beck:Mongolian Chop Squad,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",570
58,Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",1886
59,Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",332
60,Chrono Crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural",742
61,D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",891
62,D.C.~Da Capo~,6.77,"Harem, Drama, Magic, Romance",1852
63,DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",1146
64,Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",846
65,Rozen Maiden:Träumend,7.65,"Action, Comedy, Drama, Magic, Seinen",1479
66,Azumanga Daioh:The Animation,7.98,"Slice of Life, Comedy, School",554
67,Basilisk,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",940
68,Black Cat,7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",622
71,Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",322
72,Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",571
73,Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha",639
74,Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power",1640
75,Fafner of the Blue Sky,7.3,"Action, Drama, Mecha, Military, Sci-Fi",2523
76,Magical Girl Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",1550
77,Magical Girl Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power",2075
79,Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",600
80,Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",1427
81,Mobile Suit Gundam:The 08th MS Team,8.03,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",1948
82,Mobile Suit Gundam 0080:War in the Pocket,7.9,"Military, Sci-Fi, Space, Drama, Mecha",2444
84,Mobile Suit Gundam 0083:Stardust Memory,7.3,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",2791
85,Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",2159
86,Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",2941
87,Mobile Suit Gundam:Char's Counterattack,7.68,"Military, Sci-Fi, Space, Drama, Mecha",2773
88,Mobile Suit Gundam F91,6.67,"Drama, Mecha, Military, Sci-Fi, Space",3387
89,Mobile Suit V Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",3588
90,Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",1118
91,Mobile Suit Gundam Wing:Endless Waltz,7.76,"Action, Drama, Mecha, Military, Sci-Fi, Space",2512
92,After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",3043
93,Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",1057
95,∀ Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",2714
96,Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",2109
97,Last Exile,7.82,"Action, Sci-Fi, Adventure",995
98,My-Hime,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",1381
99,My-Otome,7.31,"Comedy, Drama, Fantasy, Magic",2370
100,Prétear:The New Legend of Snow White,7.2,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",2162
101,Air,7.32,"Slice of Life, Supernatural, Drama, Romance",563
103,Red Riding Hood Chacha,7.39,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",4551
104,"Ceres, Celestial Legend",7.23,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",2182
105,Boys Be...,6.46,"Slice of Life, Comedy, Romance, Shounen",3665
106,Hana Yori Dango,7.7,"Drama, Romance, School, Shoujo",2293
107,Jing:King of Bandits,7.23,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",2817
108,Jing:King of Bandits - Seventh Heaven,7.29,"Adventure, Fantasy, Psychological, Comedy, Shounen",4619
109,Burst Angel,6.81,"Adventure, Comedy, Mecha, Sci-Fi",1965
111,Corrector Yui,6.83,"Sci-Fi, Adventure, Comedy, Magic",4519
112,The Cosmopolitan Prayers,4.95,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",5542
113,Stellvia,7.38,"Action, Mecha, Romance, Sci-Fi, Space",3577
114,Cromartie High School,7.93,"Comedy, School, Shounen",1279
116,El-Hazard:The Wanderers,6.97,"Adventure, Comedy, Romance, Fantasy",4198
120,Fruits Basket,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",314
121,Fullmetal Alchemist,8.17,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",52
122,Searching for the Full Moon,7.96,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",1519
123,Mysterious Play,7.64,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",1434
124,Mysterious Play:Eikoden,6.86,"Adventure, Fantasy, Romance, Drama, Shoujo",4101
125,Twin Love,6.49,"Comedy, Romance, School",2900
129,Saiyuki,7.59,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",2359
130,Saiyuki Reload,7.41,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",3071
